MetaStock(tm) data file \\#AAAGX\,,,,,,,,,
TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,O/I
#AAAGX,D,08/02/2006,00:00:00,4.889999866,4.889999866,4.889999866,4.889999866,0,0
#AAAGX,D,08/03/2006,00:00:00,4.900000095,4.900000095,4.900000095,4.900000095,0,0
#AAAGX,D,08/04/2006,00:00:00,4.889999866,4.889999866,4.889999866,4.889999866,0,0
#AAAGX,D,08/07/2006,00:00:00,4.880000114,4.880000114,4.880000114,4.880000114,0,0
#AAAGX,D,08/08/2006,00:00:00,4.849999905,4.849999905,4.849999905,4.849999905,0,0
#AAAGX,D,08/09/2006,00:00:00,4.840000153,4.840000153,4.840000153,4.840000153,0,0
#AAAGX,D,08/10/2006,00:00:00,4.860000134,4.860000134,4.860000134,4.860000134,0,0
#AAAGX,D,08/11/2006,00:00:00,4.840000153,4.840000153,4.840000153,4.840000153,0,0
#AAAGX,D,08/14/2006,00:00:00,4.840000153,4.840000153,4.840000153,4.840000153,0,0
#AAAGX,D,08/15/2006,00:00:00,4.940000057,4.940000057,4.940000057,4.940000057,0,0
#AAAGX,D,08/16/2006,00:00:00,5.010000229,5.010000229,5.010000229,5.010000229,0,0
#AAAGX,D,08/17/2006,00:00:00,5.019999981,5.019999981,5.019999981,5.019999981,0,0
#AAAGX,D,08/18/2006,00:00:00,5.03000021,5.03000021,5.03000021,5.03000021,0,0
#AAAGX,D,08/21/2006,00:00:00,4.989999771,4.989999771,4.989999771,4.989999771,0,0
#AAAGX,D,08/22/2006,00:00:00,4.989999771,4.989999771,4.989999771,4.989999771,0,0
#AAAGX,D,08/23/2006,00:00:00,4.960000038,4.960000038,4.960000038,4.960000038,0,0
#AAAGX,D,08/24/2006,00:00:00,4.960000038,4.960000038,4.960000038,4.960000038,0,0
#AAAGX,D,08/25/2006,00:00:00,4.960000038,4.960000038,4.960000038,4.960000038,0,0
#AAAGX,D,08/28/2006,00:00:00,4.989999771,4.989999771,4.989999771,4.989999771,0,0
#AAAGX,D,08/29/2006,00:00:00,5,5,5,5,0,0
#AAAGX,D,08/30/2006,00:00:00,5.019999981,5.019999981,5.019999981,5.019999981,0,0
#AAAGX,D,08/31/2006,00:00:00,5.019999981,5.019999981,5.019999981,5.019999981,0,0
#AAAGX,D,09/01/2006,00:00:00,5.039999962,5.039999962,5.039999962,5.039999962,0,0
#AAAGX,D,09/05/2006,00:00:00,5.070000172,5.070000172,5.070000172,5.070000172,0,0
#AAAGX,D,09/06/2006,00:00:00,5,5,5,5,0,0
#AAAGX,D,09/07/2006,00:00:00,4.96999979,4.96999979,4.96999979,4.96999979,0,0
#AAAGX,D,09/08/2006,00:00:00,4.989999771,4.989999771,4.989999771,4.989999771,0,0
#AAAGX,D,09/11/2006,00:00:00,5,5,5,5,0,0
#AAAGX,D,09/12/2006,00:00:00,5.079999924,5.079999924,5.079999924,5.079999924,0,0
#AAAGX,D,09/13/2006,00:00:00,5.099999905,5.099999905,5.099999905,5.099999905,0,0
#AAAGX,D,09/14/2006,00:00:00,5.090000153,5.090000153,5.090000153,5.090000153,0,0
#AAAGX,D,09/15/2006,00:00:00,5.119999886,5.119999886,5.119999886,5.119999886,0,0
#AAAGX,D,09/18/2006,00:00:00,5.130000114,5.130000114,5.130000114,5.130000114,0,0
#AAAGX,D,09/19/2006,00:00:00,5.099999905,5.099999905,5.099999905,5.099999905,0,0
#AAAGX,D,09/20/2006,00:00:00,5.139999866,5.139999866,5.139999866,5.139999866,0,0
#AAAGX,D,09/21/2006,00:00:00,5.110000134,5.110000134,5.110000134,5.110000134,0,0
#AAAGX,D,09/22/2006,00:00:00,5.079999924,5.079999924,5.079999924,5.079999924,0,0
#AAAGX,D,09/25/2006,00:00:00,5.130000114,5.130000114,5.130000114,5.130000114,0,0
#AAAGX,D,09/26/2006,00:00:00,5.159999847,5.159999847,5.159999847,5.159999847,0,0
#AAAGX,D,09/27/2006,00:00:00,5.170000076,5.170000076,5.170000076,5.170000076,0,0
#AAAGX,D,09/28/2006,00:00:00,5.179999828,5.179999828,5.179999828,5.179999828,0,0
#AAAGX,D,09/29/2006,00:00:00,5.170000076,5.170000076,5.170000076,5.170000076,0,0
#AAAGX,D,10/02/2006,00:00:00,5.130000114,5.130000114,5.130000114,5.130000114,0,0
#AAAGX,D,10/03/2006,00:00:00,5.130000114,5.130000114,5.130000114,5.130000114,0,0
#AAAGX,D,10/04/2006,00:00:00,5.21999979,5.21999979,5.21999979,5.21999979,0,0
#AAAGX,D,10/05/2006,00:00:00,5.25,5.25,5.25,5.25,0,0
#AAAGX,D,10/06/2006,00:00:00,5.230000019,5.230000019,5.230000019,5.230000019,0,0
#AAAGX,D,10/09/2006,00:00:00,5.239999771,5.239999771,5.239999771,5.239999771,0,0
#AAAGX,D,10/10/2006,00:00:00,5.25,5.25,5.25,5.25,0,0
#AAAGX,D,10/11/2006,00:00:00,5.230000019,5.230000019,5.230000019,5.230000019,0,0
#AAAGX,D,10/12/2006,00:00:00,5.289999962,5.289999962,5.289999962,5.289999962,0,0
#AAAGX,D,10/13/2006,00:00:00,5.300000191,5.300000191,5.300000191,5.300000191,0,0
#AAAGX,D,10/16/2006,00:00:00,5.320000172,5.320000172,5.320000172,5.320000172,0,0
#AAAGX,D,10/17/2006,00:00:00,5.28000021,5.28000021,5.28000021,5.28000021,0,0
#AAAGX,D,10/18/2006,00:00:00,5.269999981,5.269999981,5.269999981,5.269999981,0,0
#AAAGX,D,10/19/2006,00:00:00,5.289999962,5.289999962,5.289999962,5.289999962,0,0
#AAAGX,D,10/20/2006,00:00:00,5.28000021,5.28000021,5.28000021,5.28000021,0,0
#AAAGX,D,10/23/2006,00:00:00,5.320000172,5.320000172,5.320000172,5.320000172,0,0
#AAAGX,D,10/24/2006,00:00:00,5.320000172,5.320000172,5.320000172,5.320000172,0,0
#AAAGX,D,10/25/2006,00:00:00,5.329999924,5.329999924,5.329999924,5.329999924,0,0
#AAAGX,D,10/26/2006,00:00:00,5.369999886,5.369999886,5.369999886,5.369999886,0,0
#AAAGX,D,10/27/2006,00:00:00,5.309999943,5.309999943,5.309999943,5.309999943,0,0
#AAAGX,D,10/30/2006,00:00:00,5.309999943,5.309999943,5.309999943,5.309999943,0,0
#AAAGX,D,10/31/2006,00:00:00,5.309999943,5.309999943,5.309999943,5.309999943,0,0
#AAAGX,D,11/01/2006,00:00:00,5.25,5.25,5.25,5.25,0,0
#AAAGX,D,11/02/2006,00:00:00,5.25,5.25,5.25,5.25,0,0
#AAAGX,D,11/03/2006,00:00:00,5.25,5.25,5.25,5.25,0,0
#AAAGX,D,11/06/2006,00:00:00,5.320000172,5.320000172,5.320000172,5.320000172,0,0
#AAAGX,D,11/07/2006,00:00:00,5.329999924,5.329999924,5.329999924,5.329999924,0,0
#AAAGX,D,11/08/2006,00:00:00,5.340000153,5.340000153,5.340000153,5.340000153,0,0
#AAAGX,D,11/09/2006,00:00:00,5.300000191,5.300000191,5.300000191,5.300000191,0,0
#AAAGX,D,11/10/2006,00:00:00,5.320000172,5.320000172,5.320000172,5.320000172,0,0
#AAAGX,D,11/13/2006,00:00:00,5.349999905,5.349999905,5.349999905,5.349999905,0,0
#AAAGX,D,11/14/2006,00:00:00,5.400000095,5.400000095,5.400000095,5.400000095,0,0
#AAAGX,D,11/15/2006,00:00:00,5.420000076,5.420000076,5.420000076,5.420000076,0,0
#AAAGX,D,11/16/2006,00:00:00,5.440000057,5.440000057,5.440000057,5.440000057,0,0
#AAAGX,D,11/17/2006,00:00:00,5.440000057,5.440000057,5.440000057,5.440000057,0,0
#AAAGX,D,11/20/2006,00:00:00,5.440000057,5.440000057,5.440000057,5.440000057,0,0
#AAAGX,D,11/21/2006,00:00:00,5.46999979,5.46999979,5.46999979,5.46999979,0,0
#AAAGX,D,11/22/2006,00:00:00,5.5,5.5,5.5,5.5,0,0
#AAAGX,D,11/24/2006,00:00:00,5.480000019,5.480000019,5.480000019,5.480000019,0,0
#AAAGX,D,11/27/2006,00:00:00,5.380000114,5.380000114,5.380000114,5.380000114,0,0
#AAAGX,D,11/28/2006,00:00:00,5.400000095,5.400000095,5.400000095,5.400000095,0,0
#AAAGX,D,11/29/2006,00:00:00,5.449999809,5.449999809,5.449999809,5.449999809,0,0
#AAAGX,D,11/30/2006,00:00:00,5.440000057,5.440000057,5.440000057,5.440000057,0,0
#AAAGX,D,12/01/2006,00:00:00,5.409999847,5.409999847,5.409999847,5.409999847,0,0
#AAAGX,D,12/04/2006,00:00:00,5.480000019,5.480000019,5.480000019,5.480000019,0,0
#AAAGX,D,12/05/2006,00:00:00,5.5,5.5,5.5,5.5,0,0
#AAAGX,D,12/06/2006,00:00:00,5.510000229,5.510000229,5.510000229,5.510000229,0,0
#AAAGX,D,12/07/2006,00:00:00,5.46999979,5.46999979,5.46999979,5.46999979,0,0
#AAAGX,D,12/08/2006,00:00:00,5.480000019,5.480000019,5.480000019,5.480000019,0,0
#AAAGX,D,12/11/2006,00:00:00,5.480000019,5.480000019,5.480000019,5.480000019,0,0
#AAAGX,D,12/12/2006,00:00:00,5.460000038,5.460000038,5.460000038,5.460000038,0,0
#AAAGX,D,12/13/2006,00:00:00,5.460000038,5.460000038,5.460000038,5.460000038,0,0
#AAAGX,D,12/14/2006,00:00:00,5.5,5.5,5.5,5.5,0,0
#AAAGX,D,12/15/2006,00:00:00,5.510000229,5.510000229,5.510000229,5.510000229,0,0
#AAAGX,D,12/18/2006,00:00:00,5.480000019,5.480000019,5.480000019,5.480000019,0,0
#AAAGX,D,12/19/2006,00:00:00,5.480000019,5.480000019,5.480000019,5.480000019,0,0
#AAAGX,D,12/20/2006,00:00:00,5.46999979,5.46999979,5.46999979,5.46999979,0,0
#AAAGX,D,12/21/2006,00:00:00,5.449999809,5.449999809,5.449999809,5.449999809,0,0
#AAAGX,D,12/22/2006,00:00:00,5.400000095,5.400000095,5.400000095,5.400000095,0,0
#AAAGX,D,12/26/2006,00:00:00,5.420000076,5.420000076,5.420000076,5.420000076,0,0
#AAAGX,D,12/27/2006,00:00:00,5.460000038,5.460000038,5.460000038,5.460000038,0,0
#AAAGX,D,12/28/2006,00:00:00,5.449999809,5.449999809,5.449999809,5.449999809,0,0
#AAAGX,D,12/29/2006,00:00:00,5.429999828,5.429999828,5.429999828,5.429999828,0,0
#AAAGX,D,01/03/2007,00:00:00,5.429999828,5.429999828,5.429999828,5.429999828,0,0
#AAAGX,D,01/04/2007,00:00:00,5.460000038,5.460000038,5.460000038,5.460000038,0,0
#AAAGX,D,01/05/2007,00:00:00,5.440000057,5.440000057,5.440000057,5.440000057,0,0
#AAAGX,D,01/08/2007,00:00:00,5.460000038,5.460000038,5.460000038,5.460000038,0,0
#AAAGX,D,01/09/2007,00:00:00,5.460000038,5.460000038,5.460000038,5.460000038,0,0
